Data,N,Pearson Train,Spearman Train,Pearson Test,Spearman Test
appceleratorstudio,1,0.43476136457076753,0.47772124326515214,0.31244596076788234,0.2896764203059425
appceleratorstudio,1,0.431281613237076,0.4617429605547256,0.2926615148816242,0.2816273675491766
appceleratorstudio,1,0.40963137972063174,0.449691284692749,0.3105143063157714,0.3143109831088704
appceleratorstudio,1,0.42674356509559935,0.4701934672017821,0.22771561550841235,0.2226761209730495
appceleratorstudio,1,0.43311953256987684,0.47170340783069015,0.28511178966752465,0.28482848185244064
appceleratorstudio,1,0.4336784229908337,0.4716862044247897,0.2547874444809853,0.2547231405342693
appceleratorstudio,1,0.41878604772894457,0.4672156312580309,0.2915448460596307,0.2708798313080415
appceleratorstudio,1,0.4437244219017382,0.4884704199008284,0.2989542133561001,0.28814291109296825
appceleratorstudio,1,0.43365885386816416,0.4739146006823852,0.2731463243898223,0.26751864495239724
appceleratorstudio,1,0.42981693100948887,0.4676058815795015,0.26969124165406,0.2554098591145663
appceleratorstudio,2,0.4567259250274371,0.5145900518579584,0.29645408342113794,0.2971914747871317
appceleratorstudio,2,0.4717033831222524,0.5066189962915779,0.3183191145999056,0.3113884183558292
appceleratorstudio,2,0.46509025170804796,0.5223661627565875,0.2896555344805093,0.29331063423245607
appceleratorstudio,2,0.4642583220001581,0.5126835472025864,0.29724124451716044,0.2878809601552397
appceleratorstudio,2,0.45588389580864846,0.5083268953557545,0.2744399829023924,0.27047130285919274
appceleratorstudio,2,0.4658950866279991,0.5165137372641305,0.2715489906982742,0.2727957620970635
appceleratorstudio,2,0.4795300157451575,0.532841469575374,0.27777429865741915,0.2702061171524938
appceleratorstudio,2,0.46789994196696577,0.5194694795931575,0.29513290336274495,0.30000065925404124
appceleratorstudio,2,0.4684578173351009,0.5213838082626352,0.2835801022610358,0.28740208364989484
appceleratorstudio,2,0.4709158100743232,0.5148257252450915,0.28349574141688294,0.2825539164753546
appceleratorstudio,3,0.48005740828545035,0.5397752973520575,0.2643758124613164,0.2524395896878213
appceleratorstudio,3,0.4851095104332876,0.5436196782805081,0.2396490893756678,0.24199994463868013
appceleratorstudio,3,0.48423452863962707,0.5362481103174928,0.2621710794636734,0.2577329133517732
appceleratorstudio,3,0.4826903460573776,0.5293339183162029,0.27386004652232476,0.2702446729846654
appceleratorstudio,3,0.48046838182338986,0.541246338191847,0.30145433313674636,0.2969788622448092
appceleratorstudio,3,0.4701845992809271,0.5358074081661279,0.26881336068642947,0.2637897078415909
appceleratorstudio,3,0.4800463809236065,0.5362939379024448,0.2830051428363839,0.27506189747016624
appceleratorstudio,3,0.4762081680377016,0.5322549579914688,0.2666596579762683,0.2740315418670313
appceleratorstudio,3,0.4822001394998811,0.5392794451653662,0.2860523539059547,0.29034872946082624
appceleratorstudio,3,0.47343470595742043,0.5250521844032345,0.2705270838381658,0.2612541390853636
appceleratorstudio,4,0.48819562014851736,0.5474057457595172,0.26816639742042614,0.2787302561802555
appceleratorstudio,4,0.48012822570119423,0.5467275403111469,0.26628736261516656,0.2642228728137086
appceleratorstudio,4,0.4921211308990056,0.5485613970286553,0.2849152863303096,0.277346003781993
appceleratorstudio,4,0.49035280833660166,0.546270910204981,0.2867598689234986,0.2955579491315496
appceleratorstudio,4,0.49107720453186593,0.5471742757462613,0.3050528991619717,0.310108299378864
appceleratorstudio,4,0.49427855254078124,0.5481117030450003,0.26962584090241526,0.26978072869567854
appceleratorstudio,4,0.49775897500078103,0.5489480526743891,0.27316109797559324,0.28556845976022893
appceleratorstudio,4,0.4883770357656229,0.5514857605177309,0.29109419814082604,0.28530317603022787
appceleratorstudio,4,0.4875072926869997,0.5370528028979347,0.2747529157323841,0.27128100800923033
appceleratorstudio,4,0.49048181278572617,0.5455088267036639,0.24551112982557272,0.24070708263243795
appceleratorstudio,5,0.5038643914090636,0.560071964581987,0.23875360187904565,0.23193177523018216
appceleratorstudio,5,0.4934810630134845,0.5541636998991738,0.2650867082404639,0.24150819440632207
appceleratorstudio,5,0.5011379963993283,0.5598977846891622,0.25701337667360535,0.26056215992118553
appceleratorstudio,5,0.4975079327304381,0.5549429246012111,0.24790194429266008,0.25332853034041497
appceleratorstudio,5,0.4862400942911718,0.55381556689304,0.2795891450974519,0.2747070204420173
appceleratorstudio,5,0.4970858758767186,0.5529602329283355,0.2565828325705777,0.25682603443488955
appceleratorstudio,5,0.49710716395660715,0.5601161704240089,0.27173550994611606,0.2791292436943634
appceleratorstudio,5,0.5030785848374125,0.5565494174661108,0.2456662358823098,0.2470448119061636
appceleratorstudio,5,0.504097993845166,0.5557204134358534,0.286605728902161,0.27688748344905734
appceleratorstudio,5,0.49910941622241345,0.5608026227119187,0.26574720514821765,0.25814343494109865
appceleratorstudio,10,0.5071398730095343,0.5703084701216586,0.2836564306744986,0.27793456836242264
appceleratorstudio,10,0.5096491088827194,0.5755667889849229,0.26540934394356375,0.25720358752026484
appceleratorstudio,10,0.5124224733683903,0.5761900938441228,0.25932474416675394,0.2623079222577079
appceleratorstudio,10,0.5089043461285885,0.5755961627005962,0.23768309726768796,0.24125212486672135
appceleratorstudio,10,0.5143858427925642,0.572830253928636,0.23548161083128746,0.23925061973493875
appceleratorstudio,10,0.5098736162672468,0.5763915396879273,0.2579821304181205,0.2559648997256671
appceleratorstudio,10,0.5076766001529407,0.5760717947750424,0.2644270859587861,0.26429328621907283
appceleratorstudio,10,0.5119523030319286,0.5761650491568664,0.27096103442987524,0.26616736105808486
appceleratorstudio,10,0.5124320653684592,0.5737550064255861,0.26046965705678254,0.26382803495272417
appceleratorstudio,10,0.5069248193532063,0.5738692930156317,0.2691575109651803,0.265905900236867
aptanastudio,1,0.47493068974508906,0.5018849114426605,0.4066764539471863,0.30225273766119765
aptanastudio,1,0.5186077437802604,0.5867670186019397,0.2526878405623618,0.11787019405202503
aptanastudio,1,0.48866692548633406,0.5305028077011232,0.31042582338913677,0.22455140748704494
aptanastudio,1,0.5142437168694917,0.5778736170940462,0.15753889875616528,0.11002930176273076
aptanastudio,1,0.5259522517430171,0.5983837470497961,0.20312932913151777,0.10741066229956402
aptanastudio,1,0.4385081928547975,0.47326448012747074,0.3366574161421172,0.25533578878173757
aptanastudio,1,0.5319662943999868,0.5802451837876601,0.2995443444482672,0.248743428818648
aptanastudio,1,0.5203054091218494,0.5476417135938983,0.3108007932286434,0.21184205873101816
aptanastudio,1,0.5012749388700607,0.5766506001015608,0.16978417077608743,0.10734645987141125
aptanastudio,1,0.46609063067929896,0.5094921096691474,0.3264795265324853,0.2614473135382363
aptanastudio,2,0.5618648952991447,0.6389763428914453,0.28488251377303053,0.23613516473673407
aptanastudio,2,0.5560149461035526,0.6346757247813939,0.1894715712193902,0.13022438043954723
aptanastudio,2,0.5765402382171738,0.6467800925161684,0.21514759446358162,0.15791611711003037
aptanastudio,2,0.5675417947745527,0.6426829338339343,0.19508623532883923,0.11112210905043728
aptanastudio,2,0.5769454868563932,0.6486083754277061,0.173511349847675,0.0624252503011252
aptanastudio,2,0.5560915381374011,0.6320220907759518,0.1862827618168572,0.12827371943099108
aptanastudio,2,0.5690007864619796,0.6382248041992431,0.16775418812113035,0.14254305059021893
aptanastudio,2,0.568883908781439,0.6266023084973326,0.20467286710823923,0.1379915082369213
aptanastudio,2,0.563368502952777,0.6335786578572968,0.21770303516893047,0.15463359721958195
aptanastudio,2,0.5608231646275371,0.6362662616228812,0.1531091782010727,0.0847813553893813
aptanastudio,3,0.6007795978677619,0.6685018317091321,0.21797887920844355,0.15329490829214146
aptanastudio,3,0.6109660671661474,0.6692891569521311,0.2595190761112001,0.2163936010843158
aptanastudio,3,0.594880813548278,0.6841250694357585,0.17744728410142432,0.11414372120094582
aptanastudio,3,0.599974438194958,0.6831595719557944,0.2226950095229307,0.16360964307898135
aptanastudio,3,0.6129138551677024,0.6960392234141143,0.21949687557250536,0.14736506274722397
aptanastudio,3,0.6172510044853731,0.6921940704960202,0.1926048981648027,0.13687684480346066
aptanastudio,3,0.6091575426373813,0.6910690756969802,0.20722882062030157,0.1510191371154926
aptanastudio,3,0.60289930242526,0.6666128553144547,0.21028722106293846,0.18254662736582566
aptanastudio,3,0.5993411984826134,0.6794934785445198,0.22116960662721175,0.12511004233308073
aptanastudio,3,0.6010629259766272,0.6946390270818819,0.1210655015699037,0.041626395597850904
aptanastudio,4,0.6168411415024434,0.707850876598807,0.1759626416999652,0.08349320879899724
aptanastudio,4,0.6279633020774448,0.6993652600909297,0.21320508847658484,0.1711582094188141
aptanastudio,4,0.6091307407752679,0.6870719461281003,0.15971290056629503,0.059211030866158414
aptanastudio,4,0.6238382337079197,0.6950305877188453,0.2768312041684024,0.23783721208733694
aptanastudio,4,0.6254703700574631,0.704703603672193,0.20131269236310737,0.15378120753517086
aptanastudio,4,0.620845125115909,0.701240019042463,0.16030728886872656,0.07300908888256284
aptanastudio,4,0.634387449160027,0.7098028069022058,0.2404846149247468,0.18133497728558104
aptanastudio,4,0.6314293466537322,0.7063996199989977,0.23009056950386372,0.15693805458753304
aptanastudio,4,0.6256476984211236,0.6973228705133212,0.24039441704928993,0.16461092775634245
aptanastudio,4,0.6245602384103646,0.7028202889042059,0.21168903994488705,0.1956357266543305
aptanastudio,5,0.641373421203001,0.718477834398538,0.21594772408659224,0.14576410007073393
aptanastudio,5,0.6364199786040845,0.7313602532937848,0.16704307603841423,0.0790905614386496
aptanastudio,5,0.6261173005763151,0.7223569993277199,0.16836898935950834,0.10613071176383777
aptanastudio,5,0.6199172030204165,0.714810093200391,0.16994954051047195,0.10987221071512297
aptanastudio,5,0.642271108934724,0.7209600563182872,0.17227150123359897,0.05890914285292949
aptanastudio,5,0.6232291577848088,0.7129077866324238,0.11997874965067784,0.04749203871461564
aptanastudio,5,0.6430537713567646,0.7254312203696499,0.13614801332068135,0.10890234424728341
aptanastudio,5,0.6332807602639607,0.709128904322269,0.1759042287750154,0.11605749996354184
aptanastudio,5,0.6375975511574377,0.7185457527933499,0.19209484803987065,0.17601710382177924
