Data,N,Pearson Train,Spearman Train,Pearson Test,Spearman Test
appceleratorstudio,1,0.4276065578905373,0.47506172298455157,0.33224455616602105,0.327958832813463
aptanastudio,1,0.5026406657643191,0.5457013177986075,0.3270669989086137,0.22163634404708782
bamboo,1,0.501765444524866,0.5562081114583198,0.22960100294953692,0.20300827541817312
clover,1,0.4323746164854439,0.6266324539605952,0.4623287590958879,0.4840327074095286
datamanagement,1,0.4478437154501365,0.6008921033038861,0.3167459761275119,0.36712932476419863
duracloud,1,0.4907659372329079,0.64529710503028,0.3640484953718277,0.3762929087788592
jirasoftware,1,0.534970875031874,0.6109078625100064,0.3575324803100618,0.3690556101203267
mesos,1,0.475943837530159,0.5818061793119873,0.4403227957420521,0.4517583825677761
moodle,1,0.5058034832078248,0.6424158033974309,0.25239699002988764,0.2849514359846701
mule,1,0.5498197779986396,0.5858491261254717,0.3069396976921231,0.29134832557894746
mulestudio,1,0.426052874629588,0.5387146312142539,0.23546920050416548,0.22438568649626436
springxd,1,0.4568158832066727,0.5475220193593732,0.4117042554033635,0.42727462914241277
talenddataquality,1,0.48632547724913594,0.5595090201119661,0.34940368934285804,0.32304522095894256
talendesb,1,0.5695823943710024,0.6661595365522719,0.4390150563505541,0.45558767052063825
titanium,1,0.4764818830708278,0.5208828273340678,0.17653016959990173,0.19369404517876262
usergrid,1,0.4753576744206648,0.5146561202898362,0.35494459588514876,0.3398507484450435
