Data,N,Pearson Train,Spearman Train,Pearson Test,Spearman Test,,,,
jirasoftware,1,0.741304967,0.862899168,0.380714885,0.273965969,0.727266176,0.855712538,0.379886537,0.37045985
jirasoftware,1,0.68330324,0.823064651,0.371879465,0.403760774,,,,
jirasoftware,1,0.768718463,0.86911871,0.350622181,0.254779159,,,,
jirasoftware,1,0.716255156,0.868097428,0.302603578,0.302940727,,,,
jirasoftware,1,0.744439895,0.876216233,0.43981671,0.372728659,,,,
jirasoftware,1,0.724697105,0.88092341,0.437934167,0.421593942,,,,
jirasoftware,1,0.731599122,0.85714833,0.375905341,0.385275383,,,,
jirasoftware,1,0.773633103,0.855335683,0.272862276,0.245785338,,,,
jirasoftware,1,0.736088367,0.860476874,0.467568232,0.451767869,,,,
jirasoftware,1,0.765701802,0.872428489,0.414450873,0.418809899,,,,
jirasoftware,1,0.729338024,0.868703508,0.48145552,0.453604393,,,,
jirasoftware,1,0.756169598,0.848680846,0.364494305,0.367868225,,,,
jirasoftware,1,0.677245007,0.844565006,0.44291493,0.388811122,,,,
jirasoftware,1,0.711331812,0.868673825,0.419571993,0.454754367,,,,
jirasoftware,1,0.707434045,0.803062126,0.317686661,0.329699061,,,,
jirasoftware,1,0.67190336,0.850542174,0.447443493,0.464880997,,,,
jirasoftware,1,0.700792928,0.843014263,0.38905034,0.354002975,,,,
jirasoftware,1,0.731898746,0.84856164,0.372149578,0.34322412,,,,
jirasoftware,1,0.734477375,0.857764083,0.261372446,0.312844229,,,,
jirasoftware,1,0.738991405,0.854974317,0.287233764,0.408099789,,,,
jirasoftware,2,0.819070252,0.930027306,0.330972657,0.378959112,0.826496071,0.941098211,0.3734761,0.363212201
jirasoftware,2,0.818900917,0.940071596,0.390858244,0.335981005,,,,
jirasoftware,2,0.819253923,0.945315742,0.331059905,0.200987871,,,,
jirasoftware,2,0.83213991,0.951574734,0.440108399,0.486833472,,,,
jirasoftware,2,0.812016563,0.908894038,0.282428094,0.237907163,,,,
jirasoftware,2,0.822117652,0.933353206,0.458099512,0.438328629,,,,
jirasoftware,2,0.809747181,0.949946914,0.375130853,0.414007551,,,,
jirasoftware,2,0.833570426,0.945854653,0.301563771,0.261953619,,,,
jirasoftware,2,0.829102948,0.933306423,0.367921269,0.25138073,,,,
jirasoftware,2,0.816801873,0.947728687,0.373640341,0.400259363,,,,
jirasoftware,2,0.823798017,0.944745779,0.371134127,0.335122816,,,,
jirasoftware,2,0.828600313,0.946477448,0.463636815,0.405562971,,,,
jirasoftware,2,0.811956662,0.940511208,0.471195249,0.443031504,,,,
jirasoftware,2,0.827035944,0.94271465,0.451724204,0.461207948,,,,
jirasoftware,2,0.819452715,0.949087562,0.275849429,0.234165459,,,,
jirasoftware,2,0.81469471,0.9490245,0.395227378,0.299902738,,,,
jirasoftware,2,0.846345173,0.93882233,0.322204127,0.359804332,,,,
jirasoftware,2,0.824104968,0.939188226,0.38426796,0.473153939,,,,
jirasoftware,2,0.84240787,0.936516981,0.300598122,0.444610572,,,,
jirasoftware,2,0.878803396,0.94880224,0.381901534,0.401083225,,,,
jirasoftware,3,0.865468604,0.966645965,0.349614008,0.353453734,0.862392338,0.966763021,0.394871724,0.392381509
jirasoftware,3,0.862736657,0.9628259,0.355491408,0.437308632,,,,
jirasoftware,3,0.860339402,0.966090325,0.325155652,0.350398581,,,,
jirasoftware,3,0.84518592,0.963820432,0.455853605,0.464692196,,,,
jirasoftware,3,0.86705192,0.962588737,0.440462158,0.520474482,,,,
jirasoftware,3,0.842020735,0.965112235,0.450417533,0.407121462,,,,
jirasoftware,3,0.873351977,0.968497985,0.407733612,0.430244488,,,,
jirasoftware,3,0.857434486,0.96732331,0.323529612,0.342503242,,,,
jirasoftware,3,0.85310031,0.968486527,0.372011317,0.305498131,,,,
jirasoftware,3,0.880448921,0.965007348,0.388579374,0.428013196,,,,
jirasoftware,3,0.886353185,0.969351349,0.425452922,0.34040926,,,,
jirasoftware,3,0.851547115,0.9674363,0.371880475,0.324584255,,,,
jirasoftware,3,0.874040602,0.973026155,0.313263863,0.363082614,,,,
jirasoftware,3,0.874734022,0.961675732,0.397671529,0.418864901,,,,
jirasoftware,3,0.863591703,0.971900755,0.429816585,0.484808146,,,,
jirasoftware,3,0.830614924,0.96521471,0.378406953,0.346244946,,,,
jirasoftware,3,0.874678579,0.969395065,0.427407749,0.280112899,,,,
jirasoftware,3,0.872353456,0.965301631,0.444144176,0.386751468,,,,
jirasoftware,3,0.854605225,0.965908974,0.519814364,0.46730109,,,,
jirasoftware,3,0.858189013,0.969650992,0.320727577,0.395762453,,,,
jirasoftware,4,0.883372227,0.975555046,0.372233263,0.378633,0.860303619,0.972160437,0.401577771,0.378899721
jirasoftware,4,0.858445078,0.975568243,0.357986717,0.458650545,,,,
jirasoftware,4,0.843777835,0.969457007,0.388605124,0.423859562,,,,
jirasoftware,4,0.878304964,0.970631695,0.424119317,0.331604241,,,,
jirasoftware,4,0.839208513,0.972243446,0.52679146,0.345026317,,,,
jirasoftware,4,0.853663613,0.970580922,0.47069557,0.454582729,,,,
jirasoftware,4,0.866817269,0.971708123,0.351461461,0.40973377,,,,
jirasoftware,4,0.832085586,0.969016952,0.356506305,0.335672057,,,,
jirasoftware,4,0.862401695,0.975540097,0.463223702,0.446172476,,,,
jirasoftware,4,0.875112759,0.971983103,0.366943512,0.304777252,,,,
jirasoftware,4,0.862325546,0.971549733,0.37549049,0.405391334,,,,
jirasoftware,4,0.85752969,0.974557707,0.490549101,0.332273628,,,,
jirasoftware,4,0.852432166,0.969979035,0.361434783,0.375303226,,,,
jirasoftware,4,0.857478803,0.969627633,0.353978322,0.349660538,,,,
jirasoftware,4,0.860527301,0.97044018,0.389169073,0.414556792,,,,
jirasoftware,4,0.872168078,0.972308436,0.40005534,0.381756808,,,,
jirasoftware,4,0.876693578,0.974739872,0.394003322,0.340340605,,,,
jirasoftware,4,0.860790319,0.96927461,0.395255476,0.304125028,,,,
jirasoftware,4,0.868213962,0.97385383,0.394824643,0.417385317,,,,
jirasoftware,4,0.844723393,0.974593072,0.398228433,0.368489205,,,,
jirasoftware,5,0.868545275,0.977559424,0.425630076,0.485700663,0.879353767,0.978010874,0.401208073,0.397670772
