Data,Pearson Train,Spearman Train,Pearson Test,Spearman Test
clover,0.06667530028772918,0.1650381249001891,0.09218722519751148,0.1878295542432286
clover,0.6748788825083886,0.7793241604263488,0.5427655961005242,0.3534708978341276
clover,0.44383156962743037,0.5754024312826701,0.1328488044325638,0.13687234208127066
clover,0.20194382801724603,0.38440520193582856,-0.0931302380109458,-0.11464359267622672
clover,0.6729750639193043,0.8259236513303612,0.5239838564199703,0.2879602734477123
clover,0.42773726859702405,0.4596877611834578,-0.017291949135030807,-0.01987750174761074
clover,0.6121095467174847,0.8671973855786808,0.4653296464622203,0.45152062773260726
clover,0.04516812343150343,0.12039488049360902,-0.20872899550399052,-0.05642994377839731
clover,0.32316563419646416,0.5278416596531139,0.2408691637697961,0.236516596253182
clover,0.5742294165468073,0.8337838306520927,0.3197416223302492,0.2956761493810133
clover,0.5079316343739507,0.7386763647257812,0.17098135963421146,0.2189633163278616
clover,0.29053898895039504,0.4586083314147641,0.25312371442839854,0.057065050904255704
clover,0.1441249907311209,0.245640910422768,0.24266566465820824,0.26389376725295044
clover,0.3776545183980691,0.5067417488321833,0.3419759655759327,0.4012525743667935
clover,0.05724985673839576,0.14269237012638333,-0.1012285743990992,-0.054430031977821924
clover,0.3360365349558257,0.4801481588857212,0.2887117749530415,0.36340289224914724
clover,0.19088904174387564,0.3291753005011238,0.1394245220038249,0.284419889043991
clover,0.2224887539445377,0.34066047701684493,0.1116780488951846,0.12658901180939322
clover,0.5226166434483716,0.6635039103311301,0.20417483765357844,0.22200372278143904
clover,0.33513293125044846,0.4633554091399648,0.10929405040584222,0.05717315424482736
