"issuekey","type","components","storypoint","title","description_text"
"ALOY-344","Improvement","Titanium Studio",8,"CLONE - Studio Dashboard: ""default"" and ""Default Project"" does not give clear information about Alloy and Project unless description is read.","""Steps To Reproduce:    1. On dashboard on studio 3.0, navigate to Develop tab.  2. Notice """"default"""" and """"Default Project""""  & """"two-tabbed"""" and """"Tabbed Application"""" names.    Actual:  User does not get clear information from names that one is alloy project and another one is Titanium project unless he reads the description below.    Expected:  Naming convention or icon corresponding must suggest type of Project."""
"ALOY-440","Improvement","Models|XML",8,"Ti.UI.Picker has no collection binding","""h3. original discussion    http://developer.appcelerator.com/question/145992/databinding-on-picker    h3. problem    Collection binding is not implemented for Ti.UI.Picker as it is for Ti.UI.TableView and other generic Titaniums views (View, Window, ScrollView, etc...).     h3. solution     Support collection binding on Ti.UI.Picker just as it is on TableView. It will need special handling as the Ti.UI.Picker requires custom parsing for columns and rows. Something like this should be how it would work for devs:    """
"ALOY-443","Improvement","Models|XML",8,"Enable more complex notation in binding","""Allow developers to use syntax like the following in collection/model bindings:        Basically, instead of assuming the whole property needs to be wrapped in \{\}, allow developers to put as many of them in the attribute as they want."""
"ALOY-488","Bug","Tooling",3,"Orphan file cleanup deletes builtins and widget assets","""During the compile process Alloy will attempt to remove files from the Resources directory that are no longer present anywhere in the """"app"""" folder. Alloy searches a number of locations in the """"app"""" folder to see if the file is an orphan or not. False negatives should be avoided as they will leave unused files in the project. False positives on the other hand are not really worrisome since those resources will be recreated on the next compile anyway.     With that in mind, there are currently false positives for orphan file deletion for builtins and widgets. Builtins and widgets will be pulled in fresh each time. Again, this will not negatively impact a developer's build process or app in any way, it would just be more true to the logic if these files were left alone during the orphan cleanup phase."""
"ALOY-540","Sub-task","XML",5,"Resolve suboptimal compression from uglify-js v2 update","""The v2 update of uglify-js in Alloy, specifically version 2.2.5, has some suboptimal compressions, which are causing the optimizer.js test spec to fail in certain cases. Specifically the issues are around booleans and cascading of variables in assignments. These issues have been logged with the Uglifyjs2 project in the following links:    * https://github.com/mishoo/UglifyJS2/issues/137  * https://github.com/mishoo/UglifyJS2/issues/138    When these issues are resolved and distributed in an npm release, we need to revisit these compressions and testing to ensure that the fixes are in place, and that new uglify-js version has no regressions that impact alloy."""
"ALOY-544","New Feature","Runtime|XML",3,"Ability to define a custom namespace to enable Alloy to generate custom widgets","""Alloy should allow the user to specify a custom namespace for each widget in XML which modifies the generated code to use the widgets within the specified namespace.    As an example, <Window id=""""win""""> generates Ti.UI.createwindow(). The user should be able to specify <Window ns=""""mcd"""" id=""""win""""/>, which Alloy would in turn use to generate mcd.createwindow(). This is useful if the user has their own custom framework with custom widget attributes."""
"ALOY-592","Improvement","Widgets",3,"Widget: default new widget platforms do not respect tiapp.xml deployment targets","""Widget: default new widget platforms do not respect tiapp.xml deployment targets.    Test Steps:    1. Create Alloy project with all deployment targets (including blackberry and tizen).  2. New > Alloy Widget.    Test Results:    Observe the platforms listed in the widget, only a few targets are present."""
"ALOY-716","Bug","Models|XML",13,"When using view-model binding, whitespace inside curly braces disables binding","""h2. problem    http://developer.appcelerator.com/question/153856/alloy-update-view-with-fetched-collection    h2. expected    Both labels in the example below should be data bound, regardless of the superfluous whitespace.    """
"ALOY-1514","New Feature","I18N",1,"Add a CLI command to extract i18n strings from alloy code and update the strings.xml files (ALSO for XML files)","""Now that Alloy 1.2 allows to use L() in XML files, this tool must scan XML files, apart the classic JS and TSS files.    I've been tested it and it is not doing it actually."""
"ALOY-1518","New Feature","Widgets",13,"ListView: Custom widget support in templates","""Currently there does not seem to be support for adding custom widgets in Listview templates. Please add widget support to ListView."""
"ALOY-829","Improvement","Models",5,"Add a shorthand for fetch() adapter","""If I get a reference to an ID would be nice to have a shortend like     var model =  Alloy.createModel(""""..."""");  model.fetch({ id: 123 });    instead of have to provide a full sql statement    I suggest an implementation approach like this one   https://github.com/viezel/napp.alloy.adapter.restsql#extended-sql-interface  which would make querying the database more object friendly.    Thanks, Luca    (for original Q&A see http://developer.appcelerator.com/question/157222/fetch-single-record-by-id-via-alloy-models)"""
